"seller_id","percentage_on_time","avg_review_score"
"a416b6a846a11724393025641d4edd5e","0.90","4.2"
"f46490624488d3ff7ce78613913a7711","0.90","3.5"
"04fdea0c111866e6cf812f1570d6b5bd","0.90","3.2"
"0176f73cc1195f367f7b32db1e5b3aa8","0.90","4.0"
"d3674f271c91f824f82d24d92011f669","0.90","4.1"
"4c498c7345e89aebad651544829beca0","0.90","4.3"
"fe1bbc5feda5c8979a8a1b3b2512d5a6","0.90","3.8"
"5b2e94f2c22b39ccc24d34ad0f669672","0.90","4.9"
"50c9975695009e5e6473912e83a6d1da","0.90","4.0"
"55c96925041a14097b6a7825554f4ad5","0.90","3.2"
"180c3376aff0e43dd5788709df48a843","0.90","4.7"
"b2ac621f0d0322434d04a12b078b9369","0.90","4.4"
"070d165398b553f3b4b851c216b8a358","0.90","3.5"
"1f1bb1f0859883505541bdd6606193e5","0.90","4.3"
"b127efdabeffb5d559349c7b172eb75d","0.90","4.8"
"0cbcee27c791afa0cdcb08587a2013a8","0.90","3.9"
"f12ff17ad8bbf01ec5c33b17e506649b","0.90","3.8"
"77530e9772f57a62c906e1c21538ab82","0.91","4.1"
"5a6a02f419701fc8c605af71d4fc57a4","0.91","4.8"
"d5ba419e26d246a0719437cf37d9b46d","0.91","3.8"
"f84fa566034f5e8e880a07ec624c56af","0.91","4.3"
"f84a00e60c73a49e7e851c9bdca3a5bb","0.91","3.7"
"a3e9a2c700480d9bb01fba070ba80a0e","0.91","4.0"
"1c40343cc5d18c2d8248ac2f3366de34","0.91","4.5"
"23d7c96d4a1160db1c726b248601b25a","0.91","3.8"
"b18871c324516afa228a13e8f1ef0ae9","0.91","4.0"
"6e0908ef4d4efadbc3cc2b74ea477cb0","0.91","4.1"
"f62d7bb4a613ec758a03342d46b580b2","0.91","4.4"
"31ae0774c17fabd06ff707cc5bde005f","0.91","4.0"
"6a0cbc8af2e8abd1bdfb777943d174c6","0.91","4.1"
"8bdd8e3fd58bafa48af76b2c5fd71974","0.91","4.5"
"e38db885400cd35c71dfd162f2c1dbcf","0.91","4.5"
"6562efe88ce0826a4ca4f189f03b4b84","0.91","4.0"
"6d988d6174a2c27441597174f8905515","0.91","4.3"
"4e17c65a516f69d023a2ae78b84f28d6","0.91","4.1"
"bb7a14e229b1c95156719c3d9552eeee","0.91","4.2"
"ef2fbc2b607d8492bcffe657a4645434","0.91","3.9"
"e9bc59e7b60fc3063eb2290deda4cced","0.91","3.9"
"dd533b429f380718b70ad9922c294bae","0.91","3.7"
"8648b1e89e9b349e32d3741b30ec737e","0.91","4.0"
"08d2d642cf72b622b14dde1d2f5eb2f5","0.91","4.4"
"6b536a23086fba0d58c08d68814397f6","0.91","3.9"
"9e6967d3cf386d284251784b18ccb485","0.91","3.6"
"b2c97074649f92197d9387d9033dda5f","0.91","4.6"
"d13e50eaa47b4cbe9eb81465865d8cfc","0.91","4.8"
"8e2b3afb420011ef0c88c9d5f11ea526","0.91","4.3"
"f4db9b37944bcb8873e6b456ee190bbf","0.91","4.5"
"6b3bd31ad8fcda4b2635ec9f3ff2ecdf","0.91","3.9"
